Instituição financeira,Data,CAR,NPM,ROA,ROE
BMG - PRUDENCIAL,01/12/2020,"0,1864",0.086076581,0.007813865,0.052272175
BMG - PRUDENCIAL,01/03/2020,"0,1776",-0.013283984,-0.000855214,-0.004334565
SANTANDER - PRUDENCIAL,01/09/2019,"0,199",0.160501161,0.003943654,0.043380914
BRADESCO - PRUDENCIAL,01/03/2019,"0,1623",0.217871936,0.005534452,0.047992324
BRADESCO - PRUDENCIAL,01/09/2018,"0,1808",0.194991072,0.004977265,0.0458237
SANTANDER - PRUDENCIAL,01/03/2018,"0,1678",0.144764256,0.003865362,0.043413785
BMG - PRUDENCIAL,01/09/2017,"0,153",0.007433076,0.000335,0.002061901
ITAU - PRUDENCIAL,01/06/2018,"0,1761",0.189420634,0.008504022,0.085210319
BMG - PRUDENCIAL,01/06/2019,"0,1717",0.059592203,0.007188838,0.045560946
BMG - PRUDENCIAL,01/06/2020,"0,1362",0.06550546,0.008099936,0.044665486
BB - PRUDENCIAL,01/06/2020,"0,1979",0.086177859,0.003862604,0.062243039
BMG - PRUDENCIAL,01/06/2017,"0,1869",0.049273434,0.047833504,0.026869744
ITAU - PRUDENCIAL,01/12/2017,"0,1955",0.160263202,0.007943679,0.075177336
MERCANTIL DO BRASIL - PRUDENCIAL,01/06/2015,"0,188",0.165366732,0.023500014,0.406224141
BMG - PRUDENCIAL,01/03/2021,"0,1287",0.061563761,0.003066453,0.020822583
BB - PRUDENCIAL,01/09/2020,"0,1755",0.124776992,0.001892926,0.029576299
ITAU - PRUDENCIAL,01/03/2018,"0,2121",0.183044867,0.004212697,0.042970068
SANTANDER - PRUDENCIAL,01/12/2019,"0,1661",0.189722641,0.008716065,0.103624368
SANTANDER - PRUDENCIAL,01/03/2020,"0,15",0.174442669,0.003823036,0.05154918
BMG - PRUDENCIAL,01/03/2019,"0,1377",-0.027450728,-0.028813383,-0.017794462
BMG - PRUDENCIAL,01/03/2018,"0,124",0.040596096,0.002195799,0.013334398
BMG - PRUDENCIAL,01/06/2018,"0,1414",0.080844866,0.010284088,0.060090638
ITAU - PRUDENCIAL,01/06/2019,"0,1389",0.201629039,0.009263594,0.098792107
SANTANDER - PRUDENCIAL,01/03/2019,"0,1632",0.127519295,0.003179113,0.036145315
BMG - PRUDENCIAL,01/12/2017,"0,1543",-0.098334667,-0.010259558,-0.064279231
BRB - PRUDENCIAL,01/09/2017,"0,1569",0.108780498,0.005308082,0.053353546
BRB - PRUDENCIAL,01/06/2021,"0,1548",0.171353372,0.009595639,0.114035219
BRB - PRUDENCIAL,01/03/2020,"0,147",0.17891766,0.006429552,0.060068979
ITAU - PRUDENCIAL,01/09/2018,"0,1529",0.161404812,0.004054344,0.041522686
BB - PRUDENCIAL,01/12/2020,"0,1689",0.138894014,0.003700811,0.054196695
ITAU - PRUDENCIAL,01/03/2019,"0,2114",0.203959827,0.004712098,0.051770702
BRADESCO - PRUDENCIAL,01/12/2019,"0,1603",0.207226051,0.009450317,0.080189617
BB - PRUDENCIAL,01/03/2021,"0,165",0.135076836,0.002343163,0.033252634
ITAU - PRUDENCIAL,01/09/2019,"0,1956",0.146261032,0.003693393,0.040837318
SANTANDER - PRUDENCIAL,01/06/2018,"0,1541",0.166877222,0.008060341,0.090721678
BRADESCO - PRUDENCIAL,01/03/2020,"0,1476",0.164941097,0.002759073,0.026129968
BMG - PRUDENCIAL,01/12/2018,"0,1393",0.047232634,0.005396824,0.034178593
SANTANDER - PRUDENCIAL,01/09/2018,"0,1235",0.167368073,0.003913636,0.044325215
SANTANDER - PRUDENCIAL,01/12/2018,"0,1526",0.175027884,0.00819827,0.097560549
BRB - PRUDENCIAL,01/09/2020,"0,1504",0.381685503,0.012910221,0.133565375
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/06/2017,"0,1407",0.200391169,0.009727192,0.07575281
BMG - PRUDENCIAL,01/09/2018,"0,1559",0.072877363,0.0042999,0.026208898
BRB - PRUDENCIAL,01/03/2018,"0,1309",0.160825904,0.006880747,0.069478813
MERCANTIL DO BRASIL - PRUDENCIAL,01/12/2015,"0,1566",0.152274275,0.02343738,0.375979294
BRADESCO - PRUDENCIAL,01/12/2018,"0,1368",0.179079104,0.009338814,0.08219564
SANTANDER - PRUDENCIAL,01/06/2019,"0,1783",0.155886682,0.0074685,0.085512833
ITAU - PRUDENCIAL,01/12/2018,"0,162",0.167494601,0.007981181,0.080586463
BRB - PRUDENCIAL,01/12/2020,"0,1797",0.17690015,0.010535841,0.125108791
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/03/2021,"0,1462",0.423587379,0.004855964,0.042359674
BRB - PRUDENCIAL,01/06/2020,"0,1192",0.618629957,0.04091372,0.395557523
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/09/2017,"0,149",-0.359292092,-0.007705957,-0.062377915
MERCANTIL DO BRASIL - PRUDENCIAL,01/03/2016,"0,1547",0.647075957,0.042240481,0.581661533
BB - PRUDENCIAL,01/06/2021,"0,1316",0.203555922,0.005320079,0.072335015
ITAU - PRUDENCIAL,01/12/2019,"0,1965",0.184746969,0.008226413,0.087780361
INTER - PRUDENCIAL,01/09/2019,"0,1577",0.53191672,0.012722752,0.053789017
BRB - PRUDENCIAL,01/12/2017,"0,4341",0.411383234,0.036819916,0.370564062
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/03/2021,"0,1569",0.034001648,0.006090489,0.05760174
SANTANDER - PRUDENCIAL,01/03/2021,"0,1317",0.127489089,0.003063156,0.036816765
BRB - PRUDENCIAL,01/06/2018,"0,1517",0.151203218,0.013050677,0.12660022
MERCANTIL DO BRASIL - PRUDENCIAL,01/06/2016,"0,161",0.110626565,0.015028044,0.200174885
BMG - PRUDENCIAL,01/06/2021,"0,1356",0.066284009,0.005988396,0.043393922
BRB - PRUDENCIAL,01/12/2019,"0,1651",0.303045084,0.02464301,0.221981629
MERCANTIL DO BRASIL - PRUDENCIAL,01/06/2018,"0,163",-0.015420696,-0.002036624,-0.021505557
SANTANDER - PRUDENCIAL,01/06/2021,"0,1611",0.178441991,0.007561889,0.086039166
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/06/2021,"0,1471",0.03502958,0.011311086,0.010236716
BRB - PRUDENCIAL,01/09/2019,"0,136",0.171527231,0.006929655,0.066213723
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/09/2018,"0,1549",0.375838062,0.006890703,0.068879421
PINE - PRUDENCIAL,01/06/2017,"0,1327",-0.048127197,-0.002304555,-0.018357051
MERCANTIL DO BRASIL - PRUDENCIAL,01/09/2016,"0,1462",-0.062469903,-0.004527257,-0.055182411
ITAU - PRUDENCIAL,01/03/2020,"0,13",0.078931156,0.001747424,0.022878948
SANTANDER - PRUDENCIAL,01/06/2020,"0,1334",0.153370369,0.006775452,0.088773715
BRB - PRUDENCIAL,01/03/2021,"0,144",0.17239188,0.004500203,0.056865519
BRB - PRUDENCIAL,01/09/2018,"0,1456",0.243420861,0.010455079,0.099814651
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/12/2017,"0,1666",0.405334743,0.016331404,0.144810214
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/12/2020,"0,1477",0.367300279,0.00752475,0.06481016
MERCANTIL DO BRASIL - PRUDENCIAL,01/03/2018,"0,1159",0.036133683,0.00216313,0.024642616
SANTANDER - PRUDENCIAL,01/12/2020,"0,1503",0.20036286,0.007767142,0.09580959
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/09/2017,"0,1525",0.012840419,0.003231513,0.048250065
SANTANDER - PRUDENCIAL,01/09/2020,"0,1578",0.260464641,0.004645289,0.057937752
MERCANTIL DO BRASIL - PRUDENCIAL,01/12/2017,"0,1512",0.014787053,0.002168586,0.02498445
INTER - PRUDENCIAL,01/03/2020,"0,1494",0.104436556,0.001944348,0.009489455
MERCANTIL DO BRASIL - PRUDENCIAL,01/12/2016,"0,2824",0.381953775,0.05736405,0.679510306
MERCANTIL DO BRASIL - PRUDENCIAL,01/03/2017,"0,146",0.381953775,0.05736405,0.679510306
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/12/2019,"0,146",0.840761049,0.033940821,0.321213656
BANRISUL - PRUDENCIAL,01/03/2015,"0,1251",-0.123700752,-0.004993689,-0.053528592
BRB - PRUDENCIAL,01/03/2019,"0,1698",0.067408446,0.002732727,0.026644088
MERCANTIL DO BRASIL - PRUDENCIAL,01/06/2021,"0,1561",0.079903654,0.008678671,0.090667812
BRB - PRUDENCIAL,01/06/2019,"0,1643",0.153095227,0.012135556,0.118465042
MERCANTIL DO BRASIL - PRUDENCIAL,01/03/2021,"0,157",0.085133782,0.004756396,0.047425852
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/12/2020,"0,1677",0.03617937,0.011108205,0.011125823
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/12/2017,"0,131",0.047883758,0.023205811,0.035409088
BRADESCO - PRUDENCIAL,01/06/2021,"0,1589",0.245848906,0.008748944,0.082857699
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/12/2019,"0,1595",0.037411894,0.016728895,0.018071767
BRADESCO - PRUDENCIAL,01/06/2020,"0,1442",0.159562527,0.005329635,0.051006017
BRB - PRUDENCIAL,01/12/2018,"0,1504",0.095334,0.008254307,0.081565072
BRADESCO - PRUDENCIAL,01/03/2021,"0,1496",0.2325199,0.00447452,0.042702052
MERCANTIL DO BRASIL - PRUDENCIAL,01/06/2017,"0,1537",0.193767977,0.028860337,0.378012012
INTER - PRUDENCIAL,01/12/2019,"0,144",0.288265557,0.013753622,0.062686886
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/03/2018,"0,3849",-0.358198059,-0.000581515,-0.005764752
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/03/2018,"0,1317",0.092119691,0.018846048,0.029281133
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/06/2018,"0,1569",0.033014843,0.015237277,0.023356921
BANRISUL - PRUDENCIAL,01/06/2015,"0,1568",0.143877207,0.011388344,0.124256593
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/09/2018,"0,1771",0.014947422,0.003315697,0.050301032
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/03/2019,"0,1537",0.04278406,0.009072889,0.012048106
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/03/2020,"0,1411",0.044565604,0.009945549,0.010430085
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/12/2018,"0,1368",0.020209765,0.008398636,0.011777416
PINE - PRUDENCIAL,01/09/2017,"0,1376",-0.092168024,-0.036526212,-0.035980313
BANRISUL - PRUDENCIAL,01/09/2015,"0,1243",0.250865043,0.012189699,0.130348543
BRADESCO - PRUDENCIAL,01/09/2020,"0,1786",0.206417231,0.0039268,0.039281828
MERCANTIL DO BRASIL - PRUDENCIAL,01/09/2017,"0,1515",-0.032786815,-0.040124614,-0.503946471
BANRISUL - PRUDENCIAL,01/03/2016,"0,1413",0.10966855,0.004312774,0.045003102
PINE - PRUDENCIAL,01/12/2017,"0,1826",-0.075769152,-0.027906031,-0.025916561
BRADESCO - PRUDENCIAL,01/12/2020,"0,1244",0.199867174,0.007178923,0.06727573
ITAU - PRUDENCIAL,01/06/2021,"0,1581",0.230265491,0.007454074,0.093751897
MERCANTIL DO BRASIL - PRUDENCIAL,01/09/2018,"0,1493",-0.03597445,-0.045828743,-0.051282904
BANRISUL - PRUDENCIAL,01/12/2015,"0,1606",0.198023977,0.017104386,0.184652578
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/06/2019,"0,1779",0.059020276,0.028255742,0.035667592
ITAU - PRUDENCIAL,01/06/2020,"0,1613",0.06831433,0.00269121,0.03644364
ITAU - PRUDENCIAL,01/03/2021,"0,1352",0.147090399,0.003058517,0.038376956
MERCANTIL DO BRASIL - PRUDENCIAL,01/12/2018,"0,1447",0.201310174,0.023778696,0.270502855
MERCANTIL DO BRASIL - PRUDENCIAL,01/12/2020,"0,1591",0.072627713,0.007332315,0.076574999
MERCANTIL DO BRASIL - PRUDENCIAL,01/09/2019,"0,166",0.069305491,0.004132787,0.044918362
ITAU - PRUDENCIAL,01/09/2020,"0,1719",0.128721184,0.001855271,0.024777323
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/03/2020,"0,1374",0.948872948,0.014665343,0.136491072
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/09/2020,"0,1223",0.245960271,0.002382999,0.021603935
MERCANTIL DO BRASIL - PRUDENCIAL,01/03/2019,"0,1139",0.04720593,0.002863279,0.030974065
ITAU - PRUDENCIAL,01/12/2020,"0,1649",0.206491399,0.005821396,0.074777312
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/09/2019,"0,1451",0.023547652,0.005833665,0.068815092
MERCANTIL DO BRASIL - PRUDENCIAL,01/06/2019,"0,1581",0.034423405,0.004113769,0.044418264
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/06/2018,"0,1732",-0.410284986,-0.001405348,-0.013924141
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/06/2020,"0,1313",0.045268983,0.015709,0.015744667
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/06/2020,"0,138",0.075408793,0.001039813,0.00920731
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/06/2019,"0,1205",0.366198177,0.012094573,0.121450773
MERCANTIL DO BRASIL - PRUDENCIAL,01/03/2020,"0,1194",-0.184075629,-0.042755812,-0.044240722
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/09/2019,"0,1754",-0.205597222,-0.002592061,-0.026151719
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/12/2018,"0,1225",0.166304299,0.005839717,0.057053308
BANRISUL - PRUDENCIAL,01/06/2016,"0,1335",0.073576137,0.00550813,0.057426085
MERCANTIL DO BRASIL - PRUDENCIAL,01/09/2020,"0,1677",-0.04220041,-0.030131492,-0.029088027
BCO DA AMAZONIA S.A. - PRUDENCIAL,01/03/2019,"0,1836",0.616679082,0.010633817,0.10456008
INTER - PRUDENCIAL,01/06/2020,"0,1231",-0.033665852,-0.021581927,-0.121801246
MERCANTIL DO BRASIL - PRUDENCIAL,01/12/2019,"0,2797",0.125339099,0.014362803,0.15443605
BANRISUL - PRUDENCIAL,01/09/2016,"0,1669",0.047435262,0.002037703,0.02119161
PINE - PRUDENCIAL,01/03/2018,"0,1709",0.074790053,0.012422477,0.118674176
MERCANTIL DO BRASIL - PRUDENCIAL,01/06/2020,"0,1206",0.002339876,0.000246568,0.002661454
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,01/09/2020,"0,1808",0.029239399,0.005179535,0.048103653
BANRISUL - PRUDENCIAL,01/12/2016,"0,1383",0.059242714,0.004840206,0.051985802
BANRISUL - PRUDENCIAL,01/03/2017,"0,1695",0.059242714,0.004840206,0.051985802
BANRISUL - PRUDENCIAL,01/06/2017,"0,1695",-0.042630641,-0.002859245,-0.030214409
BANRISUL - PRUDENCIAL,01/12/2019,"0,1567",0.176298273,0.009902041,0.103693881
BANRISUL - PRUDENCIAL,01/03/2019,"0,1507",0.244874681,0.006970304,0.073798631
BANRISUL - PRUDENCIAL,01/03/2020,"0,1558",-0.188093007,-0.005062933,-0.0522874
BANRISUL - PRUDENCIAL,01/06/2019,"0,1514",0.142812243,0.008000905,0.084688824
BANRISUL - PRUDENCIAL,01/03/2018,"0,1579",0.04163227,0.001248238,0.012352035
BANRISUL - PRUDENCIAL,01/09/2019,"0,1563",0.204378068,0.006536108,0.068270754
BANRISUL - PRUDENCIAL,01/12/2018,"0,1617",0.043515087,0.002543241,0.027103797
BANRISUL - PRUDENCIAL,01/09/2017,"0,1522",0.122850238,0.004051295,0.042592663
PINE - PRUDENCIAL,01/06/2018,"0,1654",0.030606365,0.001218147,0.011323397
BANRISUL - PRUDENCIAL,01/12/2017,"0,1135",0.150878163,0.009814161,0.102453503
BANRISUL - PRUDENCIAL,01/06/2018,"0,1698",0.289447617,0.017853409,0.191574722
BANRISUL - PRUDENCIAL,01/06/2020,"0,1502",0.101975101,0.005511738,0.058148089
BANRISUL - PRUDENCIAL,01/09/2018,"0,1599",0.119919263,0.003636234,0.038105196
INTER - PRUDENCIAL,01/09/2020,"0,1591",-0.204795429,-0.00249483,-0.012448524
INTER - PRUDENCIAL,01/06/2021,"0,3622",0.046697493,0.001224999,0.004257564
INTER - PRUDENCIAL,01/03/2021,"0,1963",0.04589394,0.000784853,0.005149233
BANRISUL - PRUDENCIAL,01/03/2021,"0,2414",0.143470322,0.002921075,0.032506387
BANRISUL - PRUDENCIAL,01/09/2020,"0,1479",0.158134049,0.0029252,0.031611902
BANRISUL - PRUDENCIAL,01/12/2020,"0,1623",0.107851012,0.003811457,0.041957982
BANRISUL - PRUDENCIAL,01/06/2021,"0,1581",0.168948609,0.005546854,0.062878975
INTER - PRUDENCIAL,01/12/2020,"0,1477",0.016935053,0.000450471,0.002672972
PINE - PRUDENCIAL,01/12/2018,"0,3183",-0.268555137,-0.007010297,-0.075899666
PINE - PRUDENCIAL,01/12/2019,"0,128",-0.141280491,-0.004689568,-0.05655866
PINE - PRUDENCIAL,01/06/2021,"0,1233",0.003985008,0.000120939,0.002300417
PINE - PRUDENCIAL,01/09/2019,"0,1082",0.006855078,0.000121638,0.001560975
BANESTES - PRUDENCIAL,01/03/2015,"0,1232",0.173788862,0.005408653,0.080072153
PINE - PRUDENCIAL,01/03/2021,"0,1731",0.002434979,3.69E-05,0.000706616
PINE - PRUDENCIAL,01/03/2019,"0,991",-0.004741797,-7.62E-05,-0.00082514
PINE - PRUDENCIAL,01/12/2020,"0,1232",-0.022120222,-0.004698523,-0.081374402
PINE - PRUDENCIAL,01/06/2019,"0,1167",-0.125957063,-0.022407966,-0.028382518
PINE - PRUDENCIAL,01/03/2020,"0,1212",-0.014695564,-0.000203101,-0.002711968
PINE - PRUDENCIAL,01/09/2020,"0,1085",-0.055903181,-0.004007374,-0.0591083
BANESTES - PRUDENCIAL,01/06/2015,"0,1315",-0.088038901,-0.0290041,-0.042154644
BANESTES - PRUDENCIAL,01/09/2015,"0,1792",-0.049130625,-0.001621558,-0.025340435
PINE - PRUDENCIAL,01/09/2018,"0,1869",-0.171768215,-0.003191353,-0.030448481
BANESTES - PRUDENCIAL,01/12/2015,"0,1301",-0.043748038,-0.020464597,-0.031937581
BANESTES - PRUDENCIAL,01/06/2016,"0,1976",0.064106864,0.004504449,0.069843514
BANESTES - PRUDENCIAL,01/03/2018,"0,1855",0.041791421,0.00119573,0.01640404
PINE - PRUDENCIAL,01/06/2020,"0,1662",0.025654477,0.009837329,0.136808272
BANESTES - PRUDENCIAL,01/03/2016,"0,1128",0.066885799,0.023290496,0.037140927
BANESTES - PRUDENCIAL,01/06/2017,"0,1893",0.023091582,0.001632958,0.024278464
BANESTES - PRUDENCIAL,01/09/2016,"0,1831",0.100916085,0.003193035,0.060797515
BANESTES - PRUDENCIAL,01/03/2019,"0,181",-0.076961807,-0.00740904,-0.124714144
BANESTES - PRUDENCIAL,01/12/2016,"0,177",0.116733855,0.007455332,0.150527481
BANESTES - PRUDENCIAL,01/03/2017,"0,1876",0.116733855,0.007455332,0.150527481
BANESTES - PRUDENCIAL,01/12/2017,"0,1876",0.071222503,0.00414667,0.06491498
BANESTES - PRUDENCIAL,01/12/2018,"0,1422",0.074001609,0.003071053,0.057138912
BANESTES - PRUDENCIAL,01/09/2017,"0,1712",0.063706233,0.001784001,0.028470776
BANESTES - PRUDENCIAL,01/06/2018,"0,152",-0.017572785,-0.000768695,-0.012714201
BANESTES - PRUDENCIAL,01/09/2018,"0,1684",0.096398691,0.001855247,0.036908857
BANESTES - PRUDENCIAL,01/06/2021,"0,1665",0.14381845,0.003534163,0.06398005
BANESTES - PRUDENCIAL,01/12/2019,"0,1551",0.228188756,0.009944397,0.145737092
BANESTES - PRUDENCIAL,01/09/2019,"0,1405",-0.009111128,-0.000216609,-0.003218296
BANESTES - PRUDENCIAL,01/03/2021,"0,1754",0.172206609,0.001896545,0.034493862
BANESTES - PRUDENCIAL,01/03/2020,"0,1589",0.252177768,0.004519628,0.078622528
BANESTES - PRUDENCIAL,01/06/2020,"0,1282",0.166458391,0.005422363,0.091833024
BANESTES - PRUDENCIAL,01/06/2019,"0,1411",-0.03320976,-0.008808903,-0.158986144
BANESTES - PRUDENCIAL,01/12/2020,"0,1669",0.14888591,0.003521946,0.062480308
BANESTES - PRUDENCIAL,01/09/2020,"0,1542",0.173129469,0.001705813,0.036920139
PAN - PRUDENCIAL,01/06/2021,"0,1444",,,
